dominOrig,dominUnify
1. < 1% (1-2 indivs),1
2. < 1% (several indivs),2
3. 1-4%,3
4. 5-10%,4
5. 11-25%,5
6. 26-33%,6
7. 34-50%,7
8. 51-75%,8
9. 76-90%,9
10. 91-100%,10
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
0,0
